,index,neighbor_num,isite,atom,x,y,z,front_index
0,0,0.0,0.0,Si1,0.0,0.0,0.0,
1,1,18.0,17.0,Si1,2.9564771567796084,0.7100366893776465,-0.6247789495873187,17.0
2,2,18.0,19.0,Si1,0.616873096325516,0.1481501489286698,3.087433180116808,18.0
3,3,18.0,2.0,Si1,-1.5167015730861668,-2.629952574482355,-1.0619226367890546,19.0
4,4,18.0,19.0,Si1,-0.9181308714072144,2.765347506244897,-1.201920712009806,20.0
5,5,20.0,3.0,Si1,4.930374567779289,-1.0816028472644337,-2.424354086652495,21.0
6,6,20.0,18.0,Si1,3.5733502531051244,0.8581868383063164,2.462654230529489,22.0
7,7,20.0,18.0,Si1,2.0383462853723944,3.475384195622543,-1.8266996615971247,23.0
8,8,20.0,0.0,Si1,1.5350039677327303,-2.617197357316227,4.289353892126614,24.0
9,9,20.0,18.0,Si1,3.5733502531051244,0.8581868383063164,2.462654230529489,25.0
10,10,20.0,1.0,Si1,-1.3570243146741643,1.9397896855707488,4.887008317181984,26.0
11,11,20.0,1.0,Si1,-0.5985707016789527,-5.395300080727251,0.1399980752207517,27.0
12,12,20.0,1.0,Si1,-2.133574669411683,-2.7781027234110245,-4.149355816905862,28.0
13,13,20.0,3.0,Si1,-4.473178729865775,-3.339989263860001,-0.4371436872017359,29.0
14,14,20.0,0.0,Si1,-1.5350039677327303,2.617197357316227,-4.289353892126614,30.0
15,15,20.0,18.0,Si1,2.0383462853723944,3.475384195622543,-1.8266996615971247,31.0
16,16,20.0,1.0,Si1,-2.8920282824068946,4.556987042886976,0.5976544250553695,32.0
17,17,,,,,,,
18,18,,,,,,,
19,19,,,,,,,
20,20,,,,,,,
21,21,,,,,,,17.0
22,22,,,,,,,17.0
23,23,,,,,,,17.0
24,24,,,,,,,18.0
25,25,,,,,,,18.0
26,26,,,,,,,18.0
27,27,,,,,,,19.0
28,28,,,,,,,19.0
29,29,,,,,,,19.0
30,30,,,,,,,20.0
31,31,,,,,,,20.0
32,32,,,,,,,20.0
