,neighbor_num,isite,atom,x,y,z,front_index
0,0,0,Si1,0.0,0.0,0.0,
1,1,36,O1,-0.7638995162406403,1.3118300502377755,-0.5356628045374346,0.0
2,1,72,O1,1.1102230246251565e-16,6.162975822039155e-33,1.6123131151690637,0.0
3,1,54,O1,-0.7543861437003918,-1.3152575356510876,-0.5348468186263434,0.0
4,1,94,O1,1.51469142516563,0.0,-0.5397912134547808,0.0
5,2,35,Si1,-1.6230467375341933,1.9306248815381006,-1.7478939820502895,1.0
6,2,12,Si1,-0.7995170355257658,-0.5683954131922202,2.889368766164351,2.0
7,2,30,Si1,-1.5421996619899239,-2.6542793749720426,-0.9488906911736058,3.0
8,2,35,Si1,3.0738775113718115,0.322638412899517,-0.7645308158121078,4.0
9,3,91,O1,-1.40365420939199,3.525061774286232,-1.8009023400124469,5.0
10,3,94,O1,-3.182232823740376,1.6079864686385854,-1.5231543796929636,5.0
11,3,62,O1,-1.1401464611806291,1.277291756466218,-3.135346732956913,5.0
12,3,106,O1,0.23933663216953804,-0.9066796337661964,4.069204146859366,6.0
13,3,66,O1,-1.5873305538152969,-1.9074172525131756,2.475324893617087,6.0
14,3,48,O1,-1.85238980733972,0.5379967760433189,3.3980243030170016,6.0
15,3,40,O1,-0.4896400184592303,-3.7605643651096723,-1.4576117855706727,7.0
16,3,83,O1,-2.341716697515689,-3.222674788164263,0.32816495982168026,7.0
17,3,98,O1,-2.581053329685228,-2.3159951543980655,-2.1287260718686216,7.0
18,3,91,O1,3.2932700395140126,1.9170753056476493,-0.8175391737742654,8.0
19,3,62,O1,3.5567777877253746,-0.33069471217236707,-2.151983566718732,8.0
20,3,36,O1,3.9330247326653636,-0.2961564184008087,0.4477003617007467,8.0
21,4,26,Si1,-0.5239095193067413,4.671617700594732,-2.515753624767603,9.0
22,4,0,Si1,-4.696924248906002,1.6079864686385827,-0.9833631662381814,10.0
23,4,8,Si1,-0.611291853825102,0.7385580600379263,-4.554903270273932,11.0
24,4,23,Si1,1.4414160666770024,-0.8379167201901215,5.135009653114527,12.0
25,4,18,Si1,-2.3417167022449945,-3.22267477298761,1.9404781223964704,13.0
26,4,23,Si1,-3.255508182229002,0.7700697484484628,4.151646486876347,14.0
27,4,4,Si1,0.9137914837674519,-3.9927445335773943,-2.211168402404458,15.0
28,4,18,Si1,-2.341716697515689,-3.2226747881642632,1.940478074990743,16.0
29,4,4,Si1,-3.7831327651385527,-2.384758064938809,-3.1945315686426374,17.0
30,4,26,Si1,4.173014729599264,3.0636312319561485,-1.5323904585294221,18.0
31,4,8,Si1,4.085632395080902,-0.8694284086006568,-3.5715401040357486,19.0
32,4,0,Si1,4.6969242489060035,-1.607986468638584,0.9833631662381814,20.0
