,neighbor_num,isite,atom,x,y,z,front_index
0,0,26,Si1,0.0,0.0,0.0,
1,1,45,O1,1.517434072018045,1.9674097101002002e-17,-0.5365997166542018,0.0
2,1,91,O1,-0.7587495679449342,1.3176448368752003,-0.5363438712262247,0.0
3,1,103,O1,-0.7594998379076894,-1.3140495677650412,-0.5311293773081107,0.0
4,1,71,O1,0.0,-1.175745382750258e-16,1.607812795451293,0.0
5,2,9,Si1,3.0189924961866756,-0.49653666959055665,-0.23635177520484374,1.0
6,2,35,Si1,-1.1516642970751019,2.8230775711060345,-0.12105810128746175,2.0
7,2,9,Si1,-1.5114670932286884,-2.3968446982806864,-1.4518707198413339,3.0
8,2,17,Si1,-0.0481504583017498,0.11803134519661772,3.2105642075375065,4.0
9,3,63,O1,2.973032129259801,-1.9075444773762142,0.5330678562893767,5.0
10,3,75,O1,3.8141868673226247,-0.6691381230279526,-1.6259728205900728,5.0
11,3,103,O1,3.7709597515076734,0.5862584609250885,0.6843895673283795,5.0
12,3,94,O1,-2.5965846295895934,3.1892009756343986,-0.7242359947051255,6.0
13,3,62,O1,-1.1998147577478786,2.9411089157513173,1.4816933204979406,6.0
14,3,36,O1,-0.050481750984894214,3.843435977431545,-0.7014124255254973,6.0
15,3,45,O1,-3.0130255173973186,-1.9003080286901297,-1.752118661290692,7.0
16,3,63,O1,-1.5574274601555627,-3.807852506066343,-0.6824510883471127,7.0
17,3,75,O1,-0.7162727220927403,-2.569446151718082,-2.841491765226562,7.0
18,3,111,O1,1.3967698742127432,-0.24809205933174594,3.8137421009551704,8.0
19,3,53,O1,-1.1496350350312516,-0.9024537483308048,3.7908374971792327,8.0
20,3,80,O1,-0.4410651874319176,1.6234640794274529,3.6258499774762694,8.0
21,4,21,Si1,2.977342936382678,-3.3714766128342957,1.1978581043279792,9.0
22,4,3,Si1,4.221380070612431,-1.7623824775089514,-2.738880738905752,10.0
23,4,26,Si1,4.530459589415364,1.9003080286901302,1.2155189446364902,11.0
24,4,0,Si1,-3.8629461480516687,3.3673417885766668,-1.6990482960821485,12.0
25,4,8,Si1,-1.1998147553768512,2.9411089163026527,3.0895061062500444,13.0
26,4,0,Si1,0.6675134413636942,5.267649817266795,-0.4835293514456585,14.0
27,4,26,Si1,-4.530459589415364,-1.9003080286901302,-1.2155189446364902,15.0
28,4,21,Si1,-1.5531166530326863,-5.271784641524426,-0.01766084030851206,16.0
29,4,3,Si1,-0.3090795188029317,-3.6626905061990804,-3.954399683542243,17.0
30,4,19,Si1,2.663131392674818,-0.42623287227401363,4.788554402332195,18.0
31,4,19,Si1,-1.8673281967405462,-2.326540900964143,3.5730354576957035,19.0
32,4,82,O1,-0.4418545392462254,1.6253990195036045,3.6257670041374843,20.0
