,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,0.729018146985929
4,0,5,0.7290181469859288
5,0,6,0.729018146985929
6,0,7,0.7290181469859299
7,0,8,3.971239423879609
8,0,9,3.971239423879609
9,1,2,0.0
10,1,3,0.0
11,1,4,0.7290181469859289
12,1,5,0.7290181469859286
13,1,6,0.7290181469859289
14,1,7,0.7290181469859297
15,1,8,3.971239423879607
16,1,9,3.971239423879609
17,2,3,0.0
18,2,4,0.729265567855139
19,2,5,0.7292655678551386
20,2,6,0.7292655678551391
21,2,7,0.729265567855139
22,2,8,3.96460461024408
23,2,9,3.96460461024408
24,3,4,0.729018146985929
25,3,5,0.7290181469859286
26,3,6,0.7290181469859289
27,3,7,0.7290181469859298
28,3,8,3.97123942387961
29,3,9,3.971239423879609
30,4,5,0.0
31,4,6,0.0
32,4,7,0.0
33,4,8,4.445868575606228
34,4,9,4.445868575606228
35,5,6,0.0
36,5,7,0.0
37,5,8,4.455352619984865
38,5,9,4.455352619984865
39,6,7,0.0
40,6,8,4.445868575606225
41,6,9,4.445868575606224
42,7,8,4.454880144644595
43,7,9,4.454880144644593
44,8,9,0.0
