,isite_i,isite_j,distance
144,JBW_0,NPO_0,3.7898128001375495
145,JBW_0,SBN_0,4.169077867492182
146,JBW_0,SBN_6,5.085588034400899
147,JBW_0,THO_0,2.700446906890482
148,JBW_0,THO_4,4.191358748096925
149,JBW_0,THO_8,7.605513981485074
150,JBW_4,ABW_0,2.463680631851677
151,JBW_4,ATT_0,5.214664572461238
152,JBW_4,ATT_1,3.922077944944488
153,JBW_4,ATT_8,2.8537862337161743
154,JBW_4,BCT_0,2.8515736848416084
155,JBW_4,BIK_0,2.0085945768187994
156,JBW_4,BIK_4,1.478336693003907
157,JBW_4,CAN_0,3.2568884827400906
158,JBW_4,DFT_0,2.790404439099284
159,JBW_4,MVY_0,2.896990117204935
160,JBW_4,MVY_4,5.167814156170724
161,JBW_4,MVY_8,4.569157702859399
162,JBW_4,NAB_0,4.849801135058276
163,JBW_4,NAB_1,4.427259009517075
164,JBW_4,NPO_0,3.7754493734524472
165,JBW_4,SBN_0,4.864251054522946
166,JBW_4,SBN_6,2.117414186808293
167,JBW_4,THO_0,2.1146580478446166
168,JBW_4,THO_4,4.003702262497431
169,JBW_4,THO_8,4.906197484810553
170,MVY_0,MVY_4,5.149558281203762
171,MVY_0,MVY_8,5.659684102599143
172,MVY_4,MVY_8,3.17320636115022
173,NAB_0,ATT_0,3.236262363394263
174,NAB_0,ATT_1,3.7829049274783313
175,NAB_0,ATT_8,4.005590952012374
176,NAB_0,BIK_0,4.014767093436339
177,NAB_0,BIK_4,4.849559014805197
178,NAB_0,CAN_0,3.73891155110461
179,NAB_0,MVY_0,6.329435102656295
180,NAB_0,MVY_4,3.783084964251318
181,NAB_0,MVY_8,4.859343903365761
182,NAB_0,NAB_1,5.569472357793613
183,NAB_0,SBN_0,5.793586783453075
184,NAB_0,SBN_6,4.296888451531969
185,NAB_0,THO_0,4.872115302793022
186,NAB_0,THO_4,4.369295676876899
187,NAB_0,THO_8,3.311212552082317
188,NAB_1,ATT_0,7.034912438519208
189,NAB_1,ATT_1,6.548132006578261
190,NAB_1,ATT_8,4.996127844227282
191,NAB_1,BIK_0,4.533423824345047
192,NAB_1,BIK_4,2.8616481694471214
193,NAB_1,CAN_0,5.830055822458481
194,NAB_1,MVY_0,4.339618414254626
195,NAB_1,MVY_4,4.583589768617155
196,NAB_1,MVY_8,4.2726843653675095
197,NAB_1,SBN_0,0.8291686154440003
198,NAB_1,SBN_6,3.9180787825560497
199,NAB_1,THO_0,6.018984108528042
200,NAB_1,THO_4,5.890412312864086
201,NAB_1,THO_8,5.894836836506647
202,NPO_0,ABW_0,4.565491010081151
203,NPO_0,ATT_0,4.823288603488839
204,NPO_0,ATT_1,5.2564902251152335
205,NPO_0,ATT_8,3.6547984028897633
206,NPO_0,BCT_0,2.2824647433597782
207,NPO_0,BIK_0,3.0752800952056463
208,NPO_0,BIK_4,4.467438736315237
209,NPO_0,CAN_0,2.5110959961353863
210,NPO_0,DFT_0,4.089274491045012
211,NPO_0,MVY_0,3.94723086375824
212,NPO_0,MVY_4,5.546634916516273
213,NPO_0,MVY_8,5.917728668358893
214,NPO_0,NAB_0,3.3174567788462306
215,NPO_0,NAB_1,5.349700747462431
216,NPO_0,SBN_0,5.249160293782314
217,NPO_0,SBN_6,4.234224867938555
218,NPO_0,THO_0,4.825253330338606
219,NPO_0,THO_4,4.693784089873385
220,NPO_0,THO_8,5.023610692072022
221,SBN_0,ATT_0,8.228560475797922
222,SBN_0,ATT_1,7.078005419155386
223,SBN_0,ATT_8,6.130896237896424
224,SBN_0,BIK_0,4.978901730540326
225,SBN_0,BIK_4,3.388111617588444
226,SBN_0,CAN_0,6.714373024831088
227,SBN_0,MVY_0,4.495761167919575
228,SBN_0,MVY_4,4.554157785756288
229,SBN_0,MVY_8,4.492573798197007
230,SBN_0,SBN_6,5.050851376135106
231,SBN_0,THO_0,4.943443651148884
232,SBN_0,THO_4,4.854084899550505
233,SBN_0,THO_8,5.938505815277843
234,SBN_6,ATT_0,5.1156269338333455
235,SBN_6,ATT_1,6.184529607734814
236,SBN_6,ATT_8,1.3619633060295302
237,SBN_6,BIK_0,4.110378216588703
238,SBN_6,BIK_4,2.101095422029182
239,SBN_6,CAN_0,2.944544828089169
240,SBN_6,MVY_0,4.472808615952847
241,SBN_6,MVY_4,4.893934634082622
242,SBN_6,MVY_8,5.557827527435069
243,SBN_6,THO_0,4.523703016801958
244,SBN_6,THO_4,6.202779972222756
245,SBN_6,THO_8,4.8442659487546775
246,THO_0,ATT_0,6.291260110203946
247,THO_0,ATT_1,4.191862902857017
248,THO_0,ATT_8,4.397463986760598
249,THO_0,BIK_0,3.607968328718485
250,THO_0,BIK_4,4.154421189194109
251,THO_0,CAN_0,4.098554164651276
252,THO_0,MVY_0,4.303875769917172
253,THO_0,MVY_4,5.725307573853263
254,THO_0,MVY_8,5.902893317981634
255,THO_0,THO_4,2.712164253453665
256,THO_0,THO_8,5.571221446820669
257,THO_4,ATT_0,4.875014100946534
258,THO_4,ATT_1,3.47316474495775
259,THO_4,ATT_8,6.217446733777655
260,THO_4,BIK_0,2.95187477601162
261,THO_4,BIK_4,4.872075046955112
262,THO_4,CAN_0,5.786344260824379
263,THO_4,MVY_0,5.437230436759012
264,THO_4,MVY_4,4.524618749435421
265,THO_4,MVY_8,4.88411914988711
266,THO_4,THO_8,4.445868575606228
267,THO_8,ATT_0,3.1108998418564155
268,THO_8,ATT_1,5.186253622173303
269,THO_8,ATT_8,5.451209792669138
270,THO_8,BIK_0,3.3790992671995053
271,THO_8,BIK_4,4.975484509767076
272,THO_8,CAN_0,5.10995130377169
273,THO_8,MVY_0,6.955960942202751
274,THO_8,MVY_4,3.671088700545205
275,THO_8,MVY_8,3.956694829600818
