,neighbor_num,isite,atom,x,y,z,front_index
0,0,11,Si1,0.0,0.0,0.0,
1,1,47,O1,-0.7585370792871187,-1.3119755255370709,-0.5440860211983988,0.0
2,1,73,O1,-0.7594075908583219,1.3140848629813124,-0.5368381370239081,0.0
3,1,67,O1,-5.551115123125783e-17,1.1102230246251565e-16,1.608963018795873,0.0
4,1,54,O1,1.518752149770235,-5.551115123125783e-17,-0.5367261446901288,0.0
5,2,7,Si1,-1.1161746468556382,-1.9718570957764512,-1.968328014204753,1.0
6,2,10,Si1,-0.6874759948018367,2.893569744305095,-0.8397695759527839,2.0
7,2,16,Si1,-0.4371996130927391,-0.26740411201692493,3.134693985680012,3.0
8,2,2,Si1,2.6997534553781226,-0.8498971059119218,-1.2263262429326203,4.0
9,3,63,O1,-0.678779351339341,-3.5214869003477585,-1.9703088352112084,5.0
10,3,49,O1,-2.6986243868683037,-1.859030619746498,-2.235651092488822,5.0
11,3,59,O1,-0.32273377295960026,-1.1905217691807135,-3.1313431289069094,5.0
12,3,46,O1,-1.851694174840766,3.2890961066124,-1.879405476021653,6.0
13,3,55,O1,0.7458501437800042,3.2531257480353153,-1.4808457862938507,6.0
14,3,66,O1,-0.8819958298022494,3.7122989995522624,0.5315824708413863,6.0
15,3,65,O1,0.3018062062484837,0.79289232909452,4.093936030248231,7.0
16,3,76,O1,-2.029355132070489,-0.10075511963603931,3.2748917695692255,7.0
17,3,78,O1,-0.007357413187399908,-1.757555962797254,3.5579585133764566,7.0
18,3,61,O1,2.9509435833803943,-2.1985066041357126,-0.3832206503155764,8.0
19,3,42,O1,2.2748105456611696,-1.2264921277577985,-2.7327834391791104,8.0
20,3,50,O1,4.046264688299031,0.030335856932063532,-1.2472081078749504,8.0
21,4,6,Si1,-0.42758922333706906,-4.870096398571549,-1.127203242594166,9.0
22,4,1,Si1,-4.188939279324369,-1.5041514212825526,-1.7443661473052647,10.0
23,4,14,Si1,1.1105923656222407,-0.8309657654504944,-3.7724193392479766,11.0
24,4,6,Si1,-2.276637084557717,2.9125010847665247,-3.38586267226814,12.0
25,4,3,Si1,1.5392910176760441,4.034461074631054,-2.643860900996007,13.0
26,4,17,Si1,-1.5717753807377282,4.507997703759319,1.7487805596320607,14.0
27,4,9,Si1,0.6518325196293935,1.712466456846082,5.366974521168146,15.0
28,4,38,Si1,-3.6215106510482378,0.06589387274484637,3.415089553458439,16.0
29,4,17,Si1,0.2772724804829192,-3.2745997795787556,4.007439989306036,17.0
30,4,3,Si1,3.3883388788966924,-3.74813640870702,-0.38520147132203175,18.0
31,4,14,Si1,1.1105923656222407,-0.8309657654504944,-3.7724193392479766,19.0
32,4,4,Si1,5.300641073663344,0.6685160973420559,-2.0266979962849065,20.0
