,neighbor_num,isite,atom,x,y,z,front_index
0,0,1,Si1,0.0,0.0,0.0,
1,1,62,O1,-0.7727436293932004,-1.3083973897291117,-0.5293904359819885,0.0
2,1,59,O1,-0.7478026516155356,1.31444890823549,-0.5567892009354565,0.0
3,1,49,O1,1.1102230246251565e-16,0.0,1.6084432906476553,0.0
4,1,43,O1,1.5114033240036242,0.0,-0.551478706237879,0.0
5,2,0,Si1,-0.9910598753073147,-2.643729383820829,-1.4003193436730412,1.0
6,2,9,Si1,-1.1428778150610055,1.8474691304595126,-2.0252741637766225,2.0
7,2,5,Si1,-0.058856635087978226,-0.15912053604310106,3.2068450370696677,3.0
8,2,14,Si1,3.0387135556766176,-0.5045072249222506,-0.5405723955929471,4.0
9,3,58,O1,-0.9215789927724893,-3.9252247720776765,-0.4256702227246314,5.0
10,3,42,O1,0.17675293250771995,-2.7738882288548434,-2.4992919030855885,5.0
11,3,48,O1,-2.4251374023923096,-2.574060539948095,-2.1253418842857976,5.0
12,3,53,O1,-2.490481616816889,1.1124018745618203,-2.5047708064959124,6.0
13,3,34,O1,0.0393062806898381,1.5158900781057791,-3.064189201245522,6.0
14,3,79,O1,-1.3901518331535445,3.4384858655645156,-1.9685263266405402,6.0
15,3,53,O1,1.3720543846993338,0.22440818197116896,3.8354036308524124,7.0
16,3,56,O1,-0.4149343439861388,-1.6759541215369875,3.609979155567577,7.0
17,3,45,O1,-1.1820015216363693,0.8344078931251003,3.7995684659952875,7.0
18,3,39,O1,3.063598606501192,-2.1028773777333067,-0.37412432014508523,8.0
19,3,40,O1,3.7476970160254113,-0.10864125335084907,-1.9290808100029366,8.0
20,3,32,O1,3.8241808425445596,0.19390985626768575,0.6794160373927489,8.0
21,4,8,Si1,0.17349945612893247,-4.492251800881305,0.611598562992895,9.0
22,4,15,Si1,0.8857363946245127,-2.3780222476702244,-3.8878003153836564,10.0
23,4,4,Si1,-3.8654028544768324,-2.342111241270907,-2.8002541317849743,11.0
24,4,5,Si1,-3.9213926366042013,0.728873156547551,-3.1333294002786563,12.0
25,4,12,Si1,0.7840810912669152,0.8080356207607766,-4.304080482324833,13.0
26,4,23,Si1,-2.5132967147514873,4.432014292009623,-1.3758028894639913,14.0
27,4,9,Si1,2.719658186455218,0.9594754378688599,4.314900273571703,15.0
28,4,4,Si1,-0.002866851192604658,-3.2301049242483404,3.5399203076752723,16.0
29,4,27,Si1,-1.4292755397289105,2.4254246282301035,3.8563163031313707,17.0
30,4,13,Si1,3.1403688540837664,-3.690565090630157,-0.12429223690269886,18.0
31,4,2,Si1,4.915509818889995,-0.23880009566176985,-3.02805337766641,19.0
32,4,12,Si1,4.6466170927831385,-0.07995807182987624,2.0360939550234924,20.0
